product_id,product_name,product_category,unit_price,current_stock_level
P00136,Onto Plus,Automotive,856.23,235
P00137,Price Lite,Home & Kitchen,3829.66,239
P00138,Along Plus,Sports,324.01,56
P00139,Create Edition,Home & Kitchen,1329.2,418
P00140,Herself Max,Electronics,1509.99,212
P00141,Five Lite,Electronics,1191.93,22
P00142,Range Edition,Grocery,920.33,286
P00143,Level Lite,Apparel,3196.48,280
P00144,To Plus,Electronics,1646.54,165
P00145,Per Plus,Sports,872.95,240
P00146,Out Pro,Grocery,4469.65,216
P00147,Sure Max,Grocery,143.42,166
P00148,Address Edition,Electronics,3537.01,27
P00149,Investment Pro,Grocery,2519.57,274
P00150,Leader Pro,Apparel,4109.54,463
P00151,Society Pro,Electronics,703.06,278
P00152,Around Plus,Books,3112.54,89
P00153,Card Edition,Beauty,2097.04,328
P00154,Central Lite,Automotive,2282.05,8
P00155,Pressure Lite,Beauty,2812.14,287
P00156,Base Plus,Automotive,4303.86,249
P00157,Walk Max,Home & Kitchen,3182.01,479
P00158,Game Lite,Automotive,936.95,17
P00159,Similar Max,Books,264.88,174
P00160,Mr Plus,Home & Kitchen,3766.54,348
P00161,Reflect Lite,Grocery,4336.7,271
P00162,Table Pro,Electronics,4688.66,105
P00163,Woman Pro,Electronics,653.32,306
P00164,Personal Max,Apparel,548.52,117
P00165,Better Lite,Automotive,305.04,455
P00166,Improve Max,Automotive,3581.72,216
P00167,Suggest Lite,Electronics,4109.44,376
P00168,Public Max,Apparel,1053.64,170
P00169,School Plus,Beauty,4416.9,478
P00170,We Pro,Electronics,2420.66,123
P00171,Card Edition,Apparel,611.25,320
P00172,Hand Pro,Books,1229.44,285
P00173,While Lite,Automotive,4303.77,145
P00174,Cup Max,Sports,1491.47,390
P00175,Option Plus,Electronics,3651.12,499
P00176,At Plus,Beauty,3578.87,208
P00177,Food Lite,Books,112.55,160
P00178,This Plus,Electronics,2529.58,209
P00179,Staff Max,Sports,4315.58,446
P00180,Term Max,Electronics,4629.45,33
P00181,Leave Edition,Sports,3874.2,404
P00182,Develop Lite,Home & Kitchen,3359.66,54
P00183,Blue Pro,Electronics,2462.84,468
P00184,Do Lite,Grocery,1187.75,345
P00185,Shoulder Max,Grocery,4660.97,400
P00186,Talk Plus,Home & Kitchen,2023.42,410
P00187,Black Max,Electronics,2924.36,335
P00188,Less Max,Grocery,2967.63,277
P00189,Catch Edition,Home & Kitchen,4097.55,312
P00190,Approach Plus,Apparel,3507.53,353
P00191,Security Lite,Home & Kitchen,631.91,124
P00192,Decade Max,Electronics,2349.58,392
P00193,Someone Lite,Books,3324.44,354
P00194,Authority Plus,Electronics,3587.44,376
P00195,Add Pro,Beauty,2068.15,58
P00196,Alone Pro,Books,839.09,135
P00197,Also Pro,Beauty,346.61,500
P00198,Hour Pro,Automotive,2041.22,248
P00199,Cell Plus,Beauty,3556.7,348
P00200,Yet Plus,Automotive,784.55,152
P00201,Act Plus,Grocery,277.54,414
P00202,Run Edition,Automotive,1082.85,461
P00203,Student Max,Electronics,1598.89,482
P00204,Give Max,Books,4399.04,28
P00205,Half Edition,Electronics,373.79,317
P00206,Relate Pro,Books,4110.44,468
P00207,Help Max,Grocery,939.58,473
P00208,Suffer Pro,Grocery,3675.18,371
P00209,In Edition,Books,2152.95,380
P00210,Fear Plus,Books,1261.52,487
P00211,View Max,Apparel,4785.91,30
P00212,Interesting Max,Automotive,1112.07,0
P00213,Nature Plus,Books,4593.82,430
P00214,Health Edition,Grocery,654.58,229
P00215,Game Edition,Apparel,4181.88,148
P00216,Fight Edition,Electronics,2106.19,476
P00217,Our Max,Electronics,1631.72,256
P00218,Make Lite,Grocery,3995.72,417
P00219,Food Max,Apparel,3833.43,442
P00220,Institution Max,Sports,2354.77,457
P00221,Never Lite,Electronics,4559.55,20
P00222,Decide Edition,Books,2331.23,406
P00223,Thank Lite,Home & Kitchen,244.07,305
P00224,Agent Max,Apparel,1149.31,397
P00225,Approach Pro,Books,690.41,186
P00226,Safe Plus,Grocery,3539.39,33
P00227,Follow Max,Electronics,1087.51,197
P00228,Wrong Plus,Electronics,3300.51,433
P00229,Land Lite,Automotive,3367.31,357
P00230,Cultural Pro,Apparel,332.41,371
P00231,Participant Lite,Home & Kitchen,3255.75,220
P00232,Art Pro,Books,4075.87,33
P00233,Drug Pro,Beauty,1550.59,211
P00234,Hold Plus,Electronics,4991.28,311
P00235,Husband Edition,Books,1626.53,241
P00236,Weight Edition,Apparel,2323.86,450
P00237,Week Pro,Apparel,4601.37,17
P00238,Generation Pro,Beauty,2430.33,358
P00239,Call Pro,Beauty,534.21,406
P00240,Approach Pro,Grocery,468.0,228
P00241,Claim Pro,Home & Kitchen,986.87,462
P00242,Gun Max,Books,2089.09,81
P00243,Control Plus,Apparel,2490.95,166
P00244,Phone Pro,Books,3880.64,323
P00245,Various Pro,Books,2165.24,496
P00246,Low Pro,Home & Kitchen,4604.61,279
P00247,Forget Edition,Beauty,2289.53,404
P00248,Itself Lite,Grocery,1755.88,397
P00249,Seek Lite,Home & Kitchen,827.71,316
P00250,Choice Plus,Sports,561.76,375
P00251,Although Plus,Home & Kitchen,4171.84,215
P00252,State Plus,Grocery,1076.8,279
P00253,Or Lite,Beauty,3444.38,324
P00254,Traditional Max,Beauty,2511.89,486
P00255,Watch Edition,Electronics,1633.4,487
P00256,Way Edition,Apparel,4440.92,187
P00257,Radio Pro,Apparel,1531.4,192
P00258,Protect Edition,Apparel,2271.21,99
P00259,Across Plus,Sports,1398.05,287
P00260,Paper Pro,Home & Kitchen,4828.03,311
P00261,Difficult Pro,Sports,458.1,347
P00262,Section Lite,Apparel,4614.54,349
P00263,Left Max,Electronics,1690.88,45
P00264,Me Max,Sports,449.45,204
P00265,Approach Plus,Books,2654.89,72
P00266,Join Pro,Books,1502.28,498
P00267,Look Pro,Grocery,2953.95,61
P00268,Best Pro,Electronics,1010.36,220
P00269,Maybe Edition,Home & Kitchen,2220.36,87
P00270,Generation Edition,Sports,2686.73,124
P00271,Service Pro,Grocery,3731.33,277
P00272,It Edition,Home & Kitchen,4169.27,261
P00273,Face Lite,Electronics,3920.56,488
P00274,Pm Pro,Books,1433.23,400
P00275,Stock Edition,Home & Kitchen,3715.44,215
P00276,Bring Max,Automotive,3815.7,127
P00277,Evening Edition,Grocery,2852.47,333
P00278,Discover Pro,Sports,3387.85,166
P00279,Hot Pro,Electronics,993.28,195
P00280,Everybody Pro,Sports,2013.42,132
P00281,Practice Pro,Sports,1145.89,500
P00282,Yes Max,Apparel,2533.13,152
P00283,Near Edition,Apparel,1735.0,153
P00284,Analysis Pro,Grocery,3686.93,464
P00285,Message Pro,Books,1713.69,416
P00286,Also Lite,Grocery,2088.92,198
P00287,Result Pro,Books,4079.77,444
P00288,Claim Plus,Home & Kitchen,314.38,339
P00289,Respond Lite,Sports,4106.19,342
P00290,Week Pro,Automotive,93.04,469
P00291,Nothing Pro,Automotive,2475.73,339
P00292,Run Pro,Electronics,2244.06,32
P00293,Field Pro,Grocery,3392.37,101
P00294,Site Max,Grocery,1938.23,302
P00295,Owner Lite,Electronics,4932.77,276
P00296,Other Edition,Beauty,2518.65,112
P00297,Southern Plus,Books,634.97,469
P00298,Society Edition,Apparel,4576.66,69
P00299,Technology Plus,Electronics,3485.71,95
P00300,Page Lite,Beauty,4419.28,233
P00301,White Pro,Apparel,1825.26,399
P00302,Certainly Pro,Electronics,1799.17,70
P00303,Thank Pro,Apparel,4393.39,490
P00304,Reveal Pro,Apparel,1181.8,372
P00305,Close Edition,Books,1813.36,493
P00306,May Pro,Electronics,2342.22,405
P00307,Suddenly Lite,Apparel,4901.53,312
P00308,Save Edition,Books,4739.29,358
P00309,However Edition,Automotive,4757.05,11
P00310,Military Edition,Books,4902.49,429
P00311,Cut Edition,Automotive,2423.4,222
P00312,Appear Edition,Grocery,1598.19,98
P00313,Loss Lite,Grocery,135.39,41
P00314,Sense Plus,Grocery,2591.11,399
P00315,Everybody Plus,Electronics,1652.91,365
P00316,Technology Pro,Sports,648.12,439
P00317,Order Plus,Home & Kitchen,4260.25,409
P00318,Hold Max,Electronics,4237.64,277
P00319,Stay Edition,Sports,1789.53,335
P00320,Probably Max,Electronics,2752.51,17
P00321,Civil Edition,Automotive,553.8,458
P00322,Debate Plus,Automotive,4382.12,187
P00323,Response Max,Apparel,3873.74,461
P00324,Tough Pro,Sports,2096.05,70
P00325,Foot Max,Electronics,408.01,437
P00326,Author Lite,Beauty,1960.68,292
P00327,She Edition,Beauty,77.02,434
P00328,Cup Max,Beauty,1316.71,89
P00329,Turn Pro,Electronics,4487.13,278
P00330,Represent Max,Apparel,1201.81,395
P00331,Meet Pro,Grocery,4465.76,33
P00332,Score Pro,Apparel,361.42,122
P00333,Rather Plus,Apparel,1876.04,194
P00334,Wall Edition,Automotive,2418.86,62
P00335,Look Plus,Electronics,4719.38,62
P00336,Inside Edition,Electronics,1136.14,418
P00337,Floor Edition,Sports,3464.62,465
P00338,From Lite,Automotive,3303.74,214
P00339,Name Edition,Automotive,3743.68,77
P00340,Family Plus,Electronics,3726.09,426
P00341,Year Plus,Sports,4725.69,115
P00342,Water Plus,Grocery,1879.09,326
P00343,When Max,Home & Kitchen,3416.37,212
P00344,Culture Lite,Apparel,365.55,114
P00345,Else Lite,Electronics,666.86,461
P00346,Firm Plus,Apparel,4900.35,366
P00347,Heart Pro,Beauty,4577.44,140
P00348,Check Plus,Beauty,3102.85,262
P00349,Enjoy Edition,Apparel,1672.38,378
P00350,Agency Max,Grocery,3276.5,11
P00351,Throughout Edition,Beauty,1830.3,259
P00352,American Pro,Books,4982.5,305
P00353,Share Lite,Beauty,68.71,133
P00354,Effect Plus,Beauty,4221.0,236
P00355,Choose Edition,Electronics,2682.51,81
P00356,Head Pro,Electronics,4701.77,320
P00357,Cause Plus,Electronics,3663.21,101
P00358,Much Max,Automotive,2843.19,16
P00359,Our Plus,Grocery,1688.92,107
P00360,Buy Plus,Apparel,4493.83,368
P00361,My Lite,Automotive,3749.64,60
P00362,Worker Pro,Automotive,4317.68,372
P00363,Yard Max,Electronics,394.17,74
P00364,Thing Pro,Automotive,3116.22,165
P00365,Lead Edition,Sports,1854.26,414
P00366,Will Edition,Grocery,3798.69,240
P00367,Order Pro,Books,3551.96,468
P00368,Cell Max,Electronics,3823.16,464
P00369,Wrong Max,Apparel,1038.2,330
P00370,Side Lite,Electronics,1635.15,317
P00371,Suddenly Pro,Books,4432.23,333
P00372,Manage Edition,Apparel,4423.96,345
P00373,Develop Max,Home & Kitchen,3858.46,362
P00374,Blue Max,Apparel,2710.36,238
P00375,Data Lite,Books,4603.66,259
P00376,Rule Plus,Grocery,3563.21,31
P00377,Serve Edition,Books,2519.34,153
P00378,Skill Max,Beauty,4701.16,466
P00379,See Lite,Beauty,3859.59,477
P00380,Suddenly Plus,Automotive,4074.47,88
P00381,Network Lite,Sports,4527.33,160
P00382,Final Edition,Grocery,2635.05,410
P00383,Pull Plus,Automotive,2344.3,132
P00384,Skin Max,Beauty,2895.04,100
P00385,Total Plus,Books,3373.75,290
P00386,Four Max,Apparel,3022.67,276
P00387,People Max,Automotive,3630.03,482
P00388,Blood Lite,Books,3645.13,25
P00389,World Plus,Electronics,1617.14,143
P00390,Cut Max,Grocery,3478.63,465
P00391,Contain Plus,Home & Kitchen,2206.15,191
P00392,Ready Plus,Home & Kitchen,2369.17,462
P00393,Population Max,Books,193.45,224
P00394,Team Edition,Home & Kitchen,3702.08,98
P00395,Ever Max,Beauty,3998.83,107
P00396,Open Pro,Beauty,4875.82,290
P00397,Clear Plus,Beauty,674.8,108
P00398,Check Plus,Electronics,4099.92,447
P00399,College Max,Electronics,1280.32,274
P00400,Minute Plus,Apparel,729.05,467
P00401,Moment Pro,Sports,204.52,164
P00402,Go Lite,Home & Kitchen,2130.1,8
P00403,Food Max,Grocery,1332.3,404
P00404,Community Max,Apparel,1648.12,230
P00405,Much Max,Electronics,4150.3,252
P00406,Able Lite,Automotive,3291.37,356
P00407,Thing Edition,Sports,4885.68,97
P00408,Piece Plus,Beauty,2015.8,453
P00409,Often Lite,Books,4758.9,213
P00410,Executive Pro,Books,2454.5,189
P00411,Than Max,Electronics,4367.66,165
P00412,Past Edition,Electronics,2732.46,98
P00413,Indicate Edition,Apparel,3943.32,269
P00414,Science Lite,Automotive,4732.56,477
P00415,Federal Max,Beauty,1240.74,72
P00416,Growth Edition,Electronics,4104.56,102
P00417,Executive Max,Grocery,1192.51,71
P00418,Part Edition,Automotive,3557.28,405
P00419,Protect Lite,Books,1674.38,339
P00420,Both Max,Books,1538.52,262
P00421,Section Plus,Beauty,2542.93,412
P00422,Nature Lite,Apparel,371.18,250
P00423,Gas Edition,Automotive,1255.42,383
P00424,Low Max,Beauty,4752.1,189
P00425,Hospital Lite,Grocery,4238.62,143
P00426,Animal Max,Apparel,489.17,309
P00427,Use Lite,Sports,2209.13,169
P00428,Use Edition,Automotive,1040.34,357
P00429,High Lite,Beauty,1385.16,307
P00430,Level Edition,Books,3454.52,386
P00431,Short Plus,Grocery,1489.98,315
P00432,Management Max,Electronics,2345.24,494
P00433,Agreement Edition,Sports,2397.05,234
P00434,Reveal Lite,Grocery,1945.31,354
P00435,Join Edition,Sports,472.34,265
P00436,Matter Edition,Home & Kitchen,759.36,188
P00437,Want Plus,Beauty,1544.34,77
P00438,Former Edition,Beauty,4674.57,266
P00439,Including Lite,Books,3411.25,151
P00440,Service Lite,Sports,3039.47,305
P00441,Interest Edition,Automotive,427.73,477
P00442,Significant Lite,Beauty,1915.73,286
P00443,Red Max,Sports,501.43,420
P00444,Matter Edition,Electronics,4490.07,114
P00445,Car Max,Beauty,4059.75,493
P00446,Consumer Lite,Home & Kitchen,2055.36,50
P00447,Such Lite,Beauty,592.65,96
P00448,American Pro,Books,3602.19,241
P00449,Either Lite,Books,3011.58,289
P00450,During Lite,Home & Kitchen,1888.09,61
P00451,Anyone Plus,Apparel,1465.0,413
P00452,Arm Plus,Apparel,2278.95,140
P00453,Tree Lite,Electronics,809.53,353
P00454,Head Max,Automotive,2108.21,199
P00455,Which Lite,Beauty,258.33,316
P00456,Or Plus,Automotive,3766.1,66
P00457,Question Edition,Sports,3525.82,94
P00458,Age Max,Electronics,1298.56,499
P00459,Various Lite,Grocery,3999.14,326
P00460,Bad Edition,Apparel,4069.7,468
P00461,War Lite,Beauty,3924.41,328
P00462,Agent Lite,Home & Kitchen,994.75,130
P00463,Than Plus,Beauty,3074.42,27
P00464,Small Pro,Grocery,4460.25,341
P00465,Myself Plus,Sports,1930.78,329
P00466,Activity Max,Apparel,4985.34,334
P00467,Prove Max,Electronics,3277.95,307
P00468,Network Edition,Electronics,1363.77,110
P00469,Also Lite,Home & Kitchen,1194.38,388
P00470,Over Lite,Sports,1168.8,453
P00471,Ever Pro,Automotive,2573.17,490
P00472,Land Pro,Home & Kitchen,691.28,152
P00473,Suggest Pro,Automotive,4138.24,454
P00474,Continue Pro,Apparel,852.24,336
P00475,Near Pro,Grocery,2142.37,167
P00476,Feeling Pro,Home & Kitchen,2122.79,293
P00477,Ability Max,Apparel,3783.99,245
P00478,Top Lite,Grocery,3749.75,126
P00479,Stay Lite,Sports,1324.18,167
P00480,Most Edition,Home & Kitchen,2300.24,290
P00481,Agreement Plus,Automotive,3151.64,77
P00482,Store Edition,Electronics,3920.76,56
P00483,Drop Pro,Apparel,1469.87,391
P00484,Leader Max,Sports,4267.35,1
P00485,Follow Pro,Books,3836.65,164
P00486,These Lite,Automotive,4131.22,415
P00487,Late Max,Books,4094.86,59
P00488,Blood Max,Books,297.97,103
P00489,Claim Plus,Automotive,2561.95,399
P00490,Feel Plus,Apparel,1406.22,147
P00491,Key Max,Grocery,721.14,186
P00492,Stuff Plus,Automotive,643.81,5
P00493,Authority Pro,Apparel,2021.26,77
P00494,Including Plus,Electronics,4037.16,398
P00495,However Lite,Books,3410.66,413
P00496,Issue Max,Grocery,2016.51,367
P00497,More Lite,Grocery,1444.57,206
P00498,Window Edition,Books,969.36,456
P00499,Give Pro,Apparel,2640.49,491
P00500,Accept Plus,Apparel,4918.71,339
P00501,By Lite,Automotive,1788.38,239
P00502,Provide Edition,Sports,4634.41,242
P00503,Enough Lite,Beauty,688.53,272
P00504,Bring Max,Electronics,592.53,419
P00505,Activity Lite,Home & Kitchen,171.38,246
P00506,Future Max,Sports,1141.87,93
P00507,Him Max,Apparel,2560.91,420
P00508,Single Max,Home & Kitchen,690.35,77
P00509,Many Lite,Beauty,3597.29,263
P00510,Impact Lite,Automotive,229.4,290
P00511,Deal Edition,Grocery,4768.18,107
P00512,Cover Max,Grocery,703.36,362
P00513,Consider Plus,Electronics,2577.55,135
P00514,Popular Plus,Automotive,1922.86,94
P00515,After Pro,Home & Kitchen,482.98,360
P00516,Of Lite,Beauty,2636.71,104
P00517,Responsibility Plus,Electronics,948.52,366
P00518,Way Pro,Beauty,4650.67,131
P00519,Example Max,Automotive,2172.98,252
P00520,Option Edition,Electronics,781.07,424
P00521,Staff Lite,Apparel,2970.5,61
P00522,The Edition,Automotive,2251.93,412
P00523,Smile Edition,Grocery,3017.25,296
P00524,Account Edition,Home & Kitchen,1920.64,49
P00525,Clear Lite,Electronics,3096.05,492
P00526,Party Lite,Automotive,4027.18,467
P00527,Majority Edition,Home & Kitchen,3112.19,445
P00528,South Plus,Books,270.56,207
P00529,Himself Max,Electronics,1805.61,38
P00530,Many Max,Automotive,2052.59,324
P00531,Game Edition,Sports,4694.47,214
P00532,Whose Plus,Automotive,4938.32,388
P00533,Hundred Max,Sports,3444.07,165
P00534,Free Edition,Automotive,2523.83,177
P00535,Foreign Plus,Apparel,2160.19,213
P00536,Mrs Max,Grocery,1623.42,481
P00537,Outside Edition,Apparel,2999.38,77
P00538,Arm Plus,Beauty,2641.01,164
P00539,Western Pro,Electronics,3744.78,191
P00540,Dream Pro,Home & Kitchen,1884.68,103
P00541,Build Plus,Grocery,4010.34,0
P00542,Dream Edition,Electronics,90.79,343
P00543,Beautiful Max,Automotive,3231.72,112
P00544,Others Edition,Home & Kitchen,3446.35,348
P00545,Mission Lite,Automotive,4071.04,37
P00546,Worry Max,Sports,1331.26,237
P00547,Nearly Plus,Apparel,910.06,486
P00548,Politics Edition,Home & Kitchen,4128.42,126
P00549,Painting Pro,Grocery,3163.55,29
P00550,Hospital Edition,Home & Kitchen,1479.78,288
P00551,Also Plus,Grocery,3445.73,3
P00552,Dog Edition,Books,2528.19,31
P00553,Example Edition,Beauty,2673.13,125
P00554,City Lite,Home & Kitchen,1423.84,328
P00555,Compare Plus,Automotive,136.64,241
P00556,Find Pro,Electronics,571.13,15
P00557,Thing Edition,Grocery,3687.33,90
P00558,Send Plus,Books,2016.12,399
P00559,Especially Pro,Books,4853.76,429
P00560,Matter Edition,Books,4456.14,342
P00561,Throughout Pro,Home & Kitchen,3323.21,25
P00562,Money Edition,Books,3474.79,432
P00563,Truth Lite,Apparel,1438.19,226
P00564,Start Max,Apparel,4571.97,114
P00565,So Edition,Sports,4410.06,460
P00566,Report Edition,Beauty,2787.05,370
P00567,Change Max,Electronics,4312.79,458
P00568,Same Lite,Home & Kitchen,515.5,79
P00569,Send Edition,Automotive,4141.27,89
P00570,Pretty Plus,Beauty,2316.76,202
P00571,Fall Lite,Home & Kitchen,2260.0,59
P00572,Management Max,Automotive,1820.9,124
P00573,Expert Pro,Apparel,4080.01,388
P00574,Base Lite,Beauty,1504.32,376
P00575,By Edition,Books,1638.1,276
P00576,Box Lite,Beauty,2121.57,413
P00577,Hope Plus,Grocery,1419.73,365
P00578,Environmental Edition,Apparel,3570.53,323
P00579,Gun Pro,Apparel,4927.42,98
P00580,Address Max,Grocery,509.26,232
P00581,Clearly Pro,Electronics,641.24,120
P00582,Stop Edition,Electronics,1028.07,296
P00583,Over Lite,Books,3080.5,417
P00584,Center Max,Electronics,4897.16,489
P00585,Professor Plus,Grocery,3473.74,160
P00586,Government Lite,Grocery,4249.45,205
P00587,Safe Plus,Beauty,3166.57,4
P00588,Try Edition,Apparel,346.13,51
P00589,List Plus,Beauty,4820.78,227
P00590,Kind Plus,Books,3504.86,311
P00591,Ability Max,Home & Kitchen,4150.11,366
P00592,Surface Edition,Apparel,3569.25,424
P00593,Quite Lite,Automotive,2344.52,307
P00594,Look Max,Electronics,717.84,453
P00595,Board Lite,Sports,2134.14,273
P00596,Wonder Lite,Books,3179.78,393
P00597,Loss Lite,Books,4712.64,328
P00598,Teach Pro,Beauty,745.38,358
P00599,Hear Pro,Sports,1570.15,193
P00600,Design Max,Grocery,3062.13,38
P00601,Include Lite,Automotive,1975.64,485
P00602,Figure Plus,Automotive,2295.0,230
P00603,East Pro,Beauty,2111.48,273
P00604,Arrive Lite,Apparel,123.28,319
P00605,Citizen Plus,Beauty,4858.8,436
P00606,More Lite,Apparel,4815.98,119
P00607,Some Max,Beauty,1318.95,359
P00608,Guy Max,Automotive,667.27,157
P00609,Southern Lite,Apparel,4620.96,71
P00610,Him Lite,Grocery,789.08,363
P00611,No Lite,Sports,2661.45,490
P00612,Speak Max,Apparel,1036.61,317
P00613,Yard Pro,Grocery,1551.77,425
P00614,Together Plus,Apparel,3140.79,187
P00615,Director Edition,Electronics,1476.3,295
P00616,Him Edition,Electronics,3454.58,464
P00617,Bit Edition,Electronics,4053.9,185
P00618,Until Lite,Electronics,1475.93,450
P00619,Boy Edition,Sports,474.83,196
P00620,People Lite,Beauty,3053.19,377
P00621,Clear Edition,Beauty,3201.02,152
P00622,Condition Max,Home & Kitchen,1794.37,440
P00623,Tax Edition,Beauty,3432.65,427
P00624,Thing Plus,Beauty,1543.83,81
P00625,Available Plus,Beauty,201.57,56
P00626,None Plus,Grocery,4733.18,148
