line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
151,T004187,P02588,PR040,3,1169.34
152,T003695,P01338,PR044,7,823.57
153,T001591,P01500,PR018,5,1238.75
154,T002570,P00085,PR014,4,1132.1
155,T000339,P02901,,3,570.74
156,T000698,P01474,,8,1868.29
157,T000475,P00285,,8,3603
158,T003788,P00951,PR043,6,922.52
159,T001197,P00525,PR034,8,2917.31
160,T003614,P00941,PR029,7,1719.97
161,T004354,P00421,PR048,8,2777.57
162,T004480,P01319,PR019,10,179.09
163,T003207,P01226,PR014,1,85.99
164,T004561,P01451,PR017,8,909.42
165,T001256,P01962,,8,939.46
166,T003853,P00669,PR001,8,1930.97
167,T002026,P01229,,9,210.84
168,T000101,P01929,,10,2699.31
169,T004777,P00347,PR035,6,1880.29
170,T003208,P02593,PR014,1,294.55
171,T003263,P02802,PR021,4,1424.11
172,T004306,P01272,PR002,2,604.72
173,T001764,P02249,PR043,1,145.63
174,T003843,P00159,PR036,10,2608.91
175,T001698,P02809,PR034,8,3687.74
176,T002373,P01780,PR001,6,2063.34
177,T001260,P01028,PR043,8,721.2
178,T001590,P02946,PR037,4,818.02
179,T003999,P01102,PR046,2,491.69
180,T003353,P00990,PR007,6,589.44
181,T001264,P01984,PR037,3,347.38
182,T000734,P01647,PR042,2,51.64
183,T004867,P02410,PR021,7,2144.7
184,T002593,P02365,PR008,4,1354.17
185,T002160,P01931,PR027,4,1343.64
186,T002374,P01365,PR050,4,1067.47
187,T002788,P00534,PR035,4,1184.46
188,T001368,P01917,PR004,1,253.39
189,T000623,P01750,,8,1033.76
190,T004861,P00613,PR003,4,491.92
191,T003574,P00838,PR001,10,874.07
192,T004819,P01092,PR036,9,1780.71
193,T004872,P02678,PR040,4,1356.8
194,T003735,P01296,PR006,5,665.84
195,T001394,P01372,,3,559.45
196,T000202,P00016,PR016,4,515.81
197,T000426,P00831,PR042,9,1919.65
198,T004504,P00537,,1,70.43
199,T004417,P00474,PR009,2,820.79
200,T001290,P00493,PR007,8,2027.88
201,T001828,P01048,,5,1387.6
202,T003278,P02339,PR036,4,780.04
203,T004584,P02956,PR024,4,1385.47
204,T004311,P01294,PR042,7,3176.11
205,T001789,P00846,PR002,7,1767.55
206,T002288,P02628,PR044,3,1038.42
207,T003068,P02610,PR021,8,1728.86
208,T003797,P01885,PR023,3,225.7
209,T002185,P02167,PR012,3,390.22
210,T001303,P02202,PR020,6,2840.08
211,T001470,P02479,PR015,6,2490.58
212,T002394,P00129,PR045,4,1416.48
213,T001980,P01385,PR030,10,4430.92
214,T000941,P00965,,9,4207.25
215,T002828,P02977,PR008,4,1558.18
216,T002659,P01992,,8,1572.34
217,T002675,P00379,PR026,6,2789.57
218,T000225,P01773,PR012,4,584.38
219,T003693,P02168,PR026,10,3919.75
220,T003000,P02063,PR009,2,705.37
221,T002909,P02078,PR012,9,2988.17
222,T000608,P01766,PR026,5,561.33
223,T001684,P02784,,4,1094.47
224,T001015,P01824,PR031,9,3756.9
225,T001196,P00793,,7,2613.45
226,T002837,P01733,PR017,3,347.31
227,T003481,P01720,PR015,1,398.75
228,T000589,P01837,PR047,9,3104.02
229,T000457,P00944,PR037,8,1313.95
230,T004179,P00430,PR016,4,815.85
231,T004787,P02602,PR027,5,1157.76
232,T003043,P00411,PR013,3,1478.44
233,T004456,P01444,PR014,9,259.49
234,T003442,P01694,PR012,9,993.74
235,T001466,P01355,PR019,7,2447.21
236,T002253,P02245,PR010,5,600.48
237,T000639,P00971,PR031,3,1238.27
238,T000083,P00360,PR048,6,1075.58
239,T004018,P02097,PR036,3,864.86
240,T004151,P01615,PR028,8,661.78
241,T001938,P01014,PR009,6,1568.28
242,T001697,P01616,,8,2904.36
243,T004248,P02260,PR008,7,1799.69
244,T003323,P02381,PR025,5,1074.47
245,T002742,P00061,PR038,3,1112.04
246,T004142,P02364,PR035,9,1779.77
247,T001898,P02867,PR049,8,2461.19
248,T003218,P01226,PR011,8,3507.01
249,T004767,P02184,PR029,6,2174.54
250,T003696,P01847,PR001,2,946.56
251,T004335,P01327,,9,456.6
252,T002601,P02122,PR010,5,64.5
253,T000267,P02313,PR031,4,241.09
254,T000850,P00182,PR034,5,1162.05
255,T000016,P02896,PR005,4,1900.76
256,T004422,P02500,PR013,2,787.08
257,T004602,P01665,PR009,5,468.77
258,T000595,P02107,PR040,8,1379.15
259,T001753,P02554,PR009,4,1360.38
260,T004620,P00473,PR012,2,646.01
261,T001309,P02787,PR018,3,932.39
262,T000333,P01569,PR007,1,134.26
263,T001840,P02707,,5,2378.9
264,T002338,P00215,PR031,9,3467.92
265,T003298,P00886,PR015,8,1851.27
266,T004366,P02501,PR020,3,1340.07
267,T002055,P02973,,7,115
268,T000135,P02082,PR027,3,614.43
269,T003160,P01998,,4,823.08
270,T000007,P01669,PR040,3,1200.92
271,T000461,P02763,PR039,4,1023.97
272,T001388,P00123,PR023,4,864.28
273,T003247,P01668,PR015,7,1543.88
274,T000143,P01390,PR037,5,1739.84
275,T000416,P02170,PR043,5,287.14
276,T004923,P02804,,8,187.9
277,T002258,P01501,PR012,7,527.99
278,T004242,P00575,PR015,2,770.72
279,T000239,P02339,PR036,7,464.48
280,T003296,P02769,,3,623.02
281,T000599,P02097,,6,2987.67
282,T001098,P00591,PR009,1,43.51
283,T004762,P02373,PR026,2,982.52
284,T000042,P01129,PR029,4,1892.21
285,T004882,P01522,PR039,5,1579.83
286,T000029,P01935,PR016,7,2310.09
287,T004628,P02391,PR032,4,1441.9
288,T002535,P01560,PR022,1,54.05
289,T003096,P00418,PR026,5,1673.46
290,T001576,P01104,PR047,4,160.74
291,T001788,P01242,PR039,5,1273.61
292,T004171,P02015,PR023,8,1370.72
293,T003925,P01603,PR001,2,834.77
294,T001434,P02316,PR006,8,1524.84
295,T000704,P02484,PR043,9,567.29
296,T001847,P00856,PR031,5,1507.77
297,T000333,P00009,PR049,5,79.6
298,T003298,P02208,,7,1765.88
299,T004675,P01569,PR005,4,1702.49
300,T003469,P02517,PR021,10,2655.01
301,T003111,P02159,PR028,10,2461.35
302,T003085,P01240,PR050,3,766.51
303,T000863,P00878,PR042,9,499.38
304,T004973,P01521,PR033,10,811.2
305,T003821,P02730,PR048,3,675.18
306,T000314,P01134,PR039,10,3713.08
307,T004902,P00059,PR028,6,2888.52
308,T002730,P00513,PR049,3,477.73
309,T000688,P00290,,3,34.02
310,T003084,P00954,PR001,1,187.96
311,T000653,P00602,PR025,8,1062.56
312,T002681,P02162,PR033,2,494.84
313,T000602,P00188,PR005,9,2048.29
314,T000167,P01246,PR008,1,55.87
315,T002855,P01972,PR015,8,1356.22
316,T002315,P02131,PR040,8,2334.68
317,T001066,P00626,PR009,8,1482.59
318,T002466,P02903,PR024,4,283.31
319,T002495,P00235,PR046,8,2278.16
320,T003874,P00614,PR039,3,790.33
321,T003722,P01478,PR018,2,164.04
322,T004935,P01352,PR031,6,793.68
323,T001821,P02332,,1,424.46
324,T004945,P02246,PR006,1,126.5
325,T004107,P01922,,4,615.6
326,T000509,P01252,,3,593.61
327,T000963,P00925,PR002,3,643.55
328,T002794,P02129,PR046,1,32.58
329,T000773,P02964,PR008,7,3289.64
330,T002930,P00244,,1,304.06
331,T002886,P01420,PR042,7,2671.52
332,T001595,P01688,PR043,8,2839.93
333,T000022,P02419,PR015,7,807.4
334,T002633,P00674,PR020,7,2530.38
335,T001671,P02976,PR021,10,4415.85
336,T001421,P00570,,10,3244.53
337,T004672,P00751,PR014,9,346.72
338,T000419,P02849,PR009,8,1269.77
339,T002478,P00008,PR043,10,4259.36
340,T000140,P02648,PR040,7,1689.27
341,T002687,P02282,,3,1428.23
342,T004156,P01434,PR013,5,2356.26
343,T002786,P00382,PR025,6,251.46
344,T001281,P00632,PR010,2,286.02
345,T000698,P01257,PR015,4,1724.63
346,T000929,P01529,PR021,6,900.22
347,T001572,P02464,PR008,8,960.37
348,T003621,P00715,PR002,2,640.87
349,T002087,P01613,PR033,7,3242.53
350,T000478,P01951,PR038,4,798.9
351,T004236,P00464,PR026,1,405.92
352,T002102,P00803,PR020,7,1618.1
353,T001618,P01831,,7,955.38
354,T004545,P01062,PR003,7,1035.28
355,T002444,P02292,PR008,6,1010.52
356,T002355,P00464,PR027,2,858.46
357,T003566,P00453,PR012,1,449.98
358,T004966,P02381,PR011,3,272.97
359,T001580,P00141,,9,4045.31
360,T004773,P02144,PR022,8,2291.58
361,T003111,P02916,PR037,7,2860.99
362,T003231,P02219,PR017,6,589.49
363,T004739,P02729,,10,531.96
364,T003474,P00683,PR022,7,2573.69
365,T001210,P02997,PR022,4,453.87
366,T004304,P02218,PR030,4,1695.9
367,T004650,P00026,,7,371.35
368,T004845,P01268,PR019,9,805.25
369,T002942,P00132,,9,517.11
370,T000509,P00888,PR003,4,386.54
371,T004285,P02275,PR003,2,564.43
372,T000309,P02326,PR039,2,300.54
373,T002196,P00835,PR050,8,2025.72
374,T002082,P02928,,8,2828.68
375,T004160,P02859,PR033,2,469.81
376,T003963,P02349,PR010,4,1239.22
377,T000424,P01866,PR018,5,795.87
378,T003453,P00337,PR002,6,1826.63
379,T003512,P01397,PR013,9,1780.64
380,T004454,P02470,PR039,5,1825.8
381,T000163,P01470,PR043,2,891.4
382,T001350,P01982,PR050,9,1069.71
383,T000037,P02126,PR033,3,221.91
384,T000672,P01861,PR033,5,725.02
385,T002721,P02736,,4,165.07
386,T001910,P02045,PR031,3,1224.92
387,T003710,P01114,PR007,3,1478.37
388,T000990,P02293,PR001,6,567.82
389,T003584,P00212,PR049,8,2647.78
390,T004529,P02516,,8,275.05
391,T002912,P00986,,3,861.6
392,T003072,P02296,PR020,5,2087.13
393,T003061,P01355,PR045,8,3736.17
394,T001515,P02706,PR040,6,2070.1
395,T000025,P00839,PR025,5,1658.83
396,T001696,P02352,PR038,4,1457.07
397,T001075,P02523,PR031,6,890.46
398,T004144,P01564,PR029,7,2516.57
399,T002440,P00053,PR007,4,1973.56
400,T003055,P01650,PR002,10,591.29
401,T001008,P02140,PR032,4,498.05
402,T001003,P02961,PR044,9,3519.44
403,T002736,P01332,PR026,1,32.92
404,T003010,P00551,PR003,3,777.72
405,T001995,P01212,PR030,8,2825.19
406,T004110,P00099,,3,695.36
407,T000624,P02174,PR011,2,973.17
408,T003453,P00610,PR018,3,780.59
409,T002840,P01516,PR044,10,3495.86
410,T004903,P00198,PR004,7,1966.48
411,T004864,P00859,PR027,3,1227.94
412,T002472,P02772,PR041,6,2130.87
413,T001633,P00683,PR018,8,2999.5
414,T001620,P02875,,6,2944.11
415,T004983,P01201,PR005,2,681.36
416,T004138,P00398,PR030,2,998.4
417,T002113,P01903,PR023,7,2464.17
418,T002012,P01800,PR040,5,1309.98
419,T002966,P02975,,4,949.81
420,T004979,P01503,PR005,1,241.06
421,T002694,P02605,PR041,6,2446.84
422,T002432,P02056,PR033,10,344.55
423,T001176,P02223,PR003,1,429.16
424,T004341,P01988,PR021,2,987.18
425,T000677,P01642,PR022,3,479.27
426,T004474,P01399,,4,1700.93
427,T001726,P00971,PR041,8,1838.6
428,T002032,P00180,PR008,3,1120.94
429,T001274,P02472,PR007,7,776.82
430,T002628,P02105,PR041,8,1496.33
431,T001857,P01483,PR028,3,144.72
432,T000107,P00013,,5,902.85
433,T001677,P01458,,8,3443.31
434,T000627,P01457,PR021,8,1304.09
435,T005000,P01355,PR008,3,1271.22
436,T002988,P02498,PR010,7,1569.32
437,T004230,P01638,,3,859.64
438,T000032,P02774,PR015,2,882.11
439,T000781,P01572,PR046,6,659.43
440,T002387,P02169,PR007,5,2296.22
441,T001999,P01156,PR028,2,796.4
442,T004483,P00853,PR026,6,1542.69
443,T000568,P00333,,2,648.5
444,T003571,P00746,PR011,5,1334.4
445,T000673,P02894,,9,834.28
446,T003337,P02770,,1,270.4
447,T003496,P02127,PR043,8,664.37
448,T001913,P02513,PR047,3,1151.62
449,T001876,P01731,PR004,4,350.57
450,T004847,P01272,,8,843.98
451,T000753,P01959,,9,3694.07
452,T000175,P01567,PR015,8,837.81
453,T000956,P00262,PR024,6,2479.82
454,T002212,P02905,PR004,4,1565.82
455,T001497,P01242,PR050,2,325.37
456,T003532,P02744,PR041,10,811.11
457,T000476,P00126,PR048,8,862.39
458,T000180,P00267,PR026,4,1950
459,T003517,P01506,PR014,6,751.59
460,T000454,P01757,PR031,4,1607.2
461,T004500,P00031,PR043,8,1369.58
462,T003684,P02601,PR039,4,1979.75
463,T003749,P02234,PR038,2,917.61
464,T004518,P02075,PR009,3,186.21
465,T003843,P00303,PR025,2,824.89
466,T004632,P00918,PR048,3,119.54
467,T000895,P00420,,8,2123.11
468,T000053,P02763,PR046,6,63.51
469,T000914,P00765,PR038,2,453.47
470,T000521,P02428,PR025,4,581.9
471,T002319,P00690,,10,207.99
472,T000427,P02387,PR010,10,729.88
473,T003498,P01385,PR004,3,984.42
474,T000662,P02339,PR010,6,876.56
475,T002560,P01910,PR028,5,386.97
476,T004522,P00262,,7,263.54
477,T000747,P00901,PR027,6,1078.88
478,T002637,P01929,PR039,10,4965.01
479,T004432,P02878,PR046,7,1767.26
480,T003594,P00100,PR047,6,961.76
481,T004210,P02078,PR039,5,2280
482,T002865,P01763,PR046,6,1697.2
483,T002442,P00560,PR006,6,2856.81
484,T003758,P00260,PR027,1,275.11
485,T001786,P00544,PR030,10,2842.63
486,T000633,P02696,PR043,8,682.41
487,T004607,P00237,PR016,10,4498.75
488,T001912,P01974,,10,2876.33
489,T001133,P00173,PR045,7,1883.89
490,T004047,P00449,PR038,4,1270.55
491,T003187,P02637,PR017,4,112.24
492,T002095,P02559,,9,4404.78
493,T001592,P01391,PR031,5,1218.88
494,T001635,P00667,,3,276.09
495,T000452,P00590,PR016,9,2851.88
496,T001219,P01124,PR041,4,1643.22
497,T002659,P02549,PR039,6,2280.39
498,T003560,P01931,PR024,4,1540.66
499,T000842,P02925,PR048,4,204.33
500,T003118,P01907,PR033,8,3695.91
501,T001124,P00498,PR049,6,494.36
502,T003087,P00199,PR039,10,4495.29
503,T004101,P02385,PR021,6,1080.04
504,T002877,P01138,PR039,9,2916.84
505,T002051,P02271,PR046,2,243.65
506,T000829,P00663,PR034,3,549.15
507,T000282,P00744,PR002,9,3005.99
508,T002222,P00169,PR005,1,454.88
509,T004466,P01703,PR003,5,767.44
510,T003429,P02014,PR007,7,3042.6
511,T003145,P02935,PR027,3,367.8
512,T003730,P01003,PR015,5,988.08
513,T004219,P01606,PR018,2,724.1
514,T000858,P02929,PR039,5,921.85
515,T004885,P01922,PR003,9,687
516,T000738,P00776,PR026,2,305.39
517,T001508,P00596,,7,3408.92
518,T000451,P01397,PR027,2,726.51
519,T001811,P00706,PR029,1,185.8
520,T001550,P02708,PR004,3,649.2
521,T001217,P02266,PR027,9,1488.49
522,T000900,P01980,PR017,10,2625.13
523,T000395,P02052,,9,1615.77
524,T002227,P02381,PR025,1,486.62
525,T003168,P01974,,1,479.41
526,T002349,P00703,PR022,6,881.94
527,T003361,P02688,PR006,3,1280.57
528,T004305,P02267,PR033,2,528.16
529,T002639,P02095,PR039,5,411.2
530,T004714,P00085,PR002,5,1894.04
531,T000992,P00818,PR020,5,467.56
532,T001137,P00865,PR005,3,667.53
533,T002781,P00258,PR048,5,1738.04
534,T004882,P00468,,9,1675.89
535,T001726,P01106,PR029,3,722.98
536,T001699,P01926,PR015,8,3644.88
537,T002053,P00555,PR012,6,2141.16
538,T004536,P02403,PR037,3,850.95
539,T003621,P02786,,9,3586.76
540,T001840,P02858,PR040,5,775.16
541,T004979,P02600,PR049,2,116.87
542,T002366,P02626,PR032,2,664.93
543,T004645,P00303,PR006,2,541.28
544,T004996,P02515,PR006,6,1126.7
545,T002978,P01351,PR030,7,1559.96
546,T002130,P00486,PR019,2,526.96
547,T004799,P01582,PR046,6,716.86
548,T003299,P02634,PR010,9,3830.66
549,T001002,P00385,PR001,2,739.21
550,T002881,P02435,PR020,5,1154.29
551,T001164,P00907,PR017,1,177.3
552,T002689,P02228,PR024,7,3322.01
553,T002104,P00015,PR015,1,35.79
554,T001188,P00877,PR002,4,700.7
555,T001629,P00632,PR005,4,1897.63
556,T004176,P02346,PR026,5,409.77
557,T003526,P01819,PR029,1,467.92
558,T001684,P01444,,5,1917.9
559,T004184,P01956,PR030,9,2000.2
560,T002043,P01070,PR013,4,646.66
561,T002321,P00139,PR017,1,279.8
562,T003664,P02000,PR035,5,59.33
563,T002432,P01068,PR017,10,1957.18
564,T000888,P00346,PR045,1,416.37
565,T000765,P01345,PR021,5,550.18
566,T001932,P01406,,5,399.61
567,T001244,P01536,PR041,2,113.44
568,T004053,P02980,PR019,4,451.1
569,T003429,P00913,PR040,10,4326.9
570,T004710,P02365,,10,4179.82
571,T003963,P01221,PR046,6,334.53
572,T000737,P01464,PR017,5,1739.43
573,T002011,P01287,PR034,8,3813.87
574,T000041,P02559,PR020,8,2801.64
575,T001868,P02104,PR038,9,1440.43
576,T001473,P00070,,6,1240.94
577,T003878,P01216,PR031,7,465.69
578,T002550,P01643,PR028,8,3418.56
579,T004971,P02155,PR012,3,577.79
580,T004676,P01791,,10,1493.99
581,T003581,P00111,PR005,1,150.93
582,T001601,P02909,PR045,9,4113.27
583,T001138,P00671,PR001,2,159.48
584,T003261,P02221,PR013,5,1625.61
585,T002349,P01943,PR026,4,1672.97
586,T000816,P01916,PR049,4,984.36
587,T001986,P00353,PR017,7,3485.43
588,T004825,P00600,PR032,1,209.54
589,T001075,P00356,PR012,9,2544.26
590,T001992,P02783,PR012,1,351.22
591,T002885,P02828,,6,409.5
592,T000239,P02632,PR019,1,211.38
593,T004141,P00073,PR032,5,632.5
594,T001059,P01347,PR019,4,983.24
595,T004253,P02278,PR001,1,308.6
596,T001838,P01727,PR009,4,588.89
597,T004828,P00752,PR023,7,716.05
598,T000372,P01869,PR020,6,1946.06
599,T001069,P02257,PR001,1,39.08
600,T003681,P01219,PR033,5,1090.46
601,T000660,P00276,PR036,4,924.36
602,T002001,P02295,PR047,5,987.79
603,T000232,P01965,PR031,4,927.68
604,T000307,P00918,PR047,6,2301.11
605,T002828,P02259,PR039,4,508.83
606,T000562,P00569,PR046,8,732.26
607,T002258,P02399,PR040,4,519.8
608,T001941,P01270,PR010,10,3006.35
609,T000286,P01572,PR021,5,1062.04
610,T003230,P01048,PR024,7,1237.29
611,T003411,P01110,PR010,7,755.17
612,T002304,P01358,PR015,5,1674.16
613,T003558,P00686,,3,44
614,T002844,P02733,PR009,6,1125.18
615,T004982,P02649,PR048,2,490.88
616,T003586,P00598,,10,2311.1
617,T004205,P00261,PR025,1,85
618,T002267,P02315,PR033,7,470.34
619,T003427,P02044,PR046,5,1690.96
620,T000022,P01302,PR004,6,2541.92
621,T000250,P00775,PR003,1,353.97
622,T002839,P00512,PR035,1,264.91
623,T000231,P00879,PR031,1,358.28
624,T003012,P02003,PR005,1,439.12
625,T002305,P01489,PR007,10,419.58
626,T004104,P02370,PR036,2,931.48
627,T003874,P02421,PR020,1,417.36
628,T002923,P01641,PR042,9,1203.47
629,T002900,P00944,,10,1560.51
630,T002390,P01373,PR005,6,853.21
631,T001883,P01868,,9,2402.29
632,T002231,P02858,PR049,2,146.96
633,T001520,P01498,PR031,7,3401.93
634,T001151,P00428,PR027,6,1685.54
635,T004554,P02302,PR045,2,412.72
636,T004329,P01499,,9,1774.69
637,T003763,P01644,PR011,3,839.28
638,T000425,P01299,PR022,2,435.82
639,T004429,P00892,PR031,9,970.32
640,T002951,P02020,PR019,6,561.66
641,T002660,P01079,PR045,4,1487.73
642,T004837,P01769,PR015,10,1535.45
643,T001940,P00947,PR039,7,996.04
644,T004395,P00150,PR024,3,367.63
645,T003051,P02598,PR002,3,118.57
646,T000050,P02777,PR050,1,346.41
647,T002324,P00141,PR012,2,185.55
648,T001493,P00981,PR043,6,2618.48
649,T002811,P00665,PR024,5,336.83
650,T001541,P02224,PR017,7,2170.04
651,T003557,P01918,,10,2370.56
652,T002778,P02368,PR025,2,924.26
653,T003584,P01241,PR030,9,2784.51
654,T004632,P02056,PR022,6,1861
655,T004341,P02106,PR011,10,1712.56
656,T003380,P00807,PR018,1,306.31
657,T002134,P02767,,4,1359.61
658,T003182,P02228,PR045,5,268.99
659,T001439,P00192,PR036,3,331.35
660,T000674,P00586,PR033,2,377.42
661,T000691,P00844,,4,1121.1
662,T000608,P01471,PR033,8,2441.71
663,T000962,P01220,,6,982.71
664,T002670,P02997,PR005,2,210.18
665,T004739,P02226,PR039,1,484.72
666,T002711,P00767,PR008,7,1637.47
667,T002840,P00687,PR049,6,1871.03
668,T002552,P02195,PR015,4,1688.85
669,T000198,P02822,PR011,1,481.69
670,T000595,P00010,PR050,5,1547.82
671,T001421,P00102,PR013,6,801.35
672,T002570,P00787,PR004,7,880.3
673,T001599,P00039,,7,1629.96
674,T001721,P02854,PR048,2,693.48
675,T002541,P02347,PR003,4,971.09
676,T003512,P00322,PR022,7,3136.35
677,T002726,P00942,PR012,8,3176.01
678,T003757,P00261,PR007,4,205.03
679,T004980,P01425,PR018,10,673.73
680,T004056,P01097,PR003,1,426.81
681,T001146,P02245,PR014,10,1861.13
682,T003331,P00130,PR020,5,1417.43
683,T001445,P00777,PR020,6,1405.1
684,T001155,P02820,PR034,4,1413.2
685,T004166,P00822,PR013,2,970.74
686,T002478,P01220,PR041,8,380.85
687,T002563,P00493,PR013,9,1573.99
688,T003340,P01529,,9,1739.15
689,T003322,P01926,PR001,3,350.47
690,T004595,P02861,PR009,8,1296.95
691,T000079,P00631,PR039,8,1099.09
692,T000455,P02086,PR037,6,2496.01
693,T001301,P00214,,7,1947.22
694,T001226,P00114,PR025,1,399.51
